track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
19qvp23a0iXjzS72nqOi8u,Sa'yo,4eKq7eArL96wSQjaaMg9Ic,Munimuni,0wlV4A2q8N2ubZJpJeqDTi,352445,2017-03-17,63,0.373,0.176,5,-11.251,1,0.0443,0.816,0.000298,0.143,0.147,77.434,352446,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
267RumTt5KeLBGl2KWxBL0,Dating Tayo,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,01f1BJjxsFyuX580Fk8Gjk,239480,2016-05-19,2,0.551,0.329,7,-10.731,1,0.0431,0.648,3.82e-05,0.0925,0.331,139.699,239480,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
02FaAqDWHFy7Rr8UMaaQ4E,Ligaya?,5HIZU0JzM0AgfItVOm4E08,This Band,1vVEl5cTGw1NGUCZ6FHD1K,357055,2019-02-03,0,0.616,0.324,4,-10.888,1,0.0323,0.579,2.08e-05,0.11,0.0765,119.837,357056,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0087fDVeNhuyMtST91RMjv,Kundiman,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,08SEZDvRXrrNs1C2y73MLi,339053,2007-01-01,1,0.335,0.571,11,-4.711,1,0.0243,0.564,0.0,0.137,0.454,93.572,339053,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6KTjHpX77i9Ge395Qzo40h,Game of Questions,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,21kXGGOQET9ll4NGhs2SOg,331071,2017-06-30,0,0.35,0.321,7,-8.316,1,0.0289,0.856,0.0,0.0969,0.24,96.686,331072,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3I2fxo7S9Z29I7xsntRCLD,Istorya,1YlibpAvhJBbMZMBwN1KGv,The Juans,1YPd5fhmV7uNXGgBzPfhI6,253401,2017-10-27,0,0.505,0.395,1,-7.286,1,0.029,0.375,0.0,0.107,0.135,75.999,253402,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0DOW3LEpqYKZ3BEAdffjDW,'Di Ba Halata,2UeuiDT17tm6ljs9D4bSMX,Agsunta,5G8rNVJCnq1ulzUmfLM2hT,227533,2018-02-04,3,0.59,0.461,0,-6.53,1,0.0304,0.577,0.0,0.171,0.391,144.125,227533,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4TEeQqtCN2Ox4Ff7rlbtYx,Sleep Tonight,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,2xDMXQrLcUxzsAdpdlLPZh,289480,2017-03-20,62,0.412,0.87,2,-3.062,1,0.0427,0.00818,0.0,0.396,0.392,147.926,289480,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
652CegYwXhnFnVz3SgGzTO,Ilaw Sa Daan,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,3cvznWGnrhG1Tiga7dqK8x,242790,2016-10-07,57,0.688,0.853,5,-6.678,1,0.0715,0.0344,0.0,0.388,0.512,105.05,242790,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3jAwK8aaVbzvV5mGAIDKCf,Bago Mahuli Ang Lahat,7n1YRMg8XHJMr4S5Z8zl6d,Never The Strangers,1WJC65SMUhiVGMmuMlOdT9,201146,2012-03-31,40,0.674,0.554,11,-8.283,1,0.0304,0.477,7.02e-05,0.112,0.414,119.937,201147,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
