track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6HNeqC9r5aVqn3M0lkTZxU,Champion,52AEbo6GReYQCeh57Ag3Se,Sbeats,6QEdh6okiHyf8NiJ4xJr8G,183682,2021-11-05,25,0.664,0.7879999999999999,8,-7.053999999999999,1,0.175,0.0681,2.0600000000000003e-05,0.384,0.314,93.987,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
7KOVr2ZGYWmRXAGZigi6Ar,Like Dat,3GyDtUmIGOdNwPVP8ck3f6,Kaane Koleone,7GAQKoUkWwvqrqlkYNiJB9,239805,2021-08-25,24,0.831,0.506,11,-7.188,1,0.2789999999999999,0.139,0.0,0.111,0.409,126.871,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
0JP9xo3adEtGSdUEISiszL,Moonlight,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2Ti79nwTsont5ZHfdxIzAm,135090,2018-03-16,85,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
0JP9xo3adEtGSdUEISiszL,Moonlight,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2Ti79nwTsont5ZHfdxIzAm,135090,2018-03-16,85,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
0lvxd6Vz5HCo1kMKoIM1jU,nascar,0ZhNhWeFYK2ZxuOPjWrcSS,ocean,4Alvd3kcYyLb6tU0vkn3eg,243215,2021-11-24,23,0.6990000000000001,0.624,5,-7.314,1,0.0517,0.0153,0.0,0.0537,0.657,159.94799999999998,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
6DCZcSspjsKoFjzjrWoCdn,God's Plan,3TVXtAsR1Inumwj472S9r4,Drake,1ATL5GLyefJaxhQzSPVrLX,198973,2018-06-29,83,0.754,0.449,7,-9.211,1,0.109,0.0332,8.290000000000001e-05,0.552,0.357,77.169,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
6DCZcSspjsKoFjzjrWoCdn,God's Plan,3TVXtAsR1Inumwj472S9r4,Drake,1ATL5GLyefJaxhQzSPVrLX,198973,2018-06-29,83,0.754,0.449,7,-9.211,1,0.109,0.0332,8.290000000000001e-05,0.552,0.357,77.169,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
6ZoW63doMcplEVfafjVGed,I'll Be Okay,0bssnI8wBD3NFMCvd47dkA,Jfrr,0HS76QtRIv8rUi6fbslb3O,162759,2021-10-10,25,0.841,0.395,0,-14.923,1,0.0949,0.0874,8.26e-06,0.0827,0.353,117.984,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
6ZoW63doMcplEVfafjVGed,I'll Be Okay,0bssnI8wBD3NFMCvd47dkA,Jfrr,0HS76QtRIv8rUi6fbslb3O,162759,2021-10-10,25,0.841,0.395,0,-14.923,1,0.0949,0.0874,8.26e-06,0.0827,0.353,117.984,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),6AgTAQt8XS6jRWi4sX7w49,Polo G,39xhYyNNDatQtgKw2KdXMz,163902,2020-05-15,77,0.752,0.6729999999999999,10,-5.792000000000001,0,0.153,0.0538,0.0,0.133,0.35,164.009,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),6AgTAQt8XS6jRWi4sX7w49,Polo G,39xhYyNNDatQtgKw2KdXMz,163902,2020-05-15,77,0.752,0.6729999999999999,10,-5.792000000000001,0,0.153,0.0538,0.0,0.133,0.35,164.009,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),6AgTAQt8XS6jRWi4sX7w49,Polo G,39xhYyNNDatQtgKw2KdXMz,163902,2020-05-15,77,0.752,0.6729999999999999,10,-5.792000000000001,0,0.153,0.0538,0.0,0.133,0.35,164.009,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
4raF8EpY3aFFUcmQsM9Bvx,Kill Journal - Official Graphic Novel Soundtrack,6hNvnZ9WpT7fg62z9sKVqL,Famoe,43xsXkBfKunIHP7CCuPmt9,191304,2021-11-12,37,0.877,0.602,1,-7.224,1,0.3329999999999999,0.0484,0.0,0.1119999999999999,0.444,141.974,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
4raF8EpY3aFFUcmQsM9Bvx,Kill Journal - Official Graphic Novel Soundtrack,6hNvnZ9WpT7fg62z9sKVqL,Famoe,43xsXkBfKunIHP7CCuPmt9,191304,2021-11-12,37,0.877,0.602,1,-7.224,1,0.3329999999999999,0.0484,0.0,0.1119999999999999,0.444,141.974,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
